RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1368.594,3930.744,-1355.0985595831432,3939.7981821037165
-1343.0845651345155,3929.583204430593,-1342,3929,-1361.656,3870.5408,-1342.1867035124803,3920.7760499669516
-1328.088403286107,3915.401940783952,-1327,3914,-1367.2809,3884.1255,-1332.2424624109508,3903.9091199738587
-1313.092564898214,3901.2210107787205,-1312,3899,-1362.016,3930.4602,-1323.9730756532138,3895.759188140778
-1298.0964811501863,3887.0398399222095,-1297,3884,-1281.4714,3908.709,-1304.608163929432,3886.091439127591
-1283.100297290018,3872.8585706392487,-1282,3874,-1269.3696,3894.3926,-1286.189216698903,3875.931773925724
-1268.1040726081706,3858.677260926066,-1267,3859,-1272.9453,3885.408,-1271.6662757451622,3866.1720827976237
-1253.1078312753368,3844.495934560545,-1252,3844,-1240.1569,3854.4526,-1253.679328337803,3852.510500056173
-1238.1115830796477,3830.314601399753,-1237,3829,-1222.1226,3921.523,-1235.6250588416615,3854.487866322416
-1234.3625204879274,3826.7692675982657,-1232,3824,-1222.4006,3924.496,-1230.2948591892603,3863.5256232028773
-1230.6134577566309,3823.223933673702,-1232,3824,-1222.4006,3924.496,-1225.9419793089723,3869.9923962731746
-1230.6132825016255,3823.223795879794,-1232,3824,-1222.4006,3924.496,-1222.2615764850802,3874.788562533232
-1230.6121499455774,3823.223761729941,-1232,3824,-1222.4006,3924.496,-1219.076114997916,3878.4424118028774
-1230.6108905373658,3823.223732586874,-1232,3824,-1222.4006,3924.496,-1216.2749794978577,3881.2843598684913
-1230.6094797120172,3823.2237075257262,-1232,3824,-1222.4006,3924.496,-1213.7852067798733,3883.5315839159407
-1230.6079038473424,3823.2236858669944,-1232,3824,-1222.4006,3924.496,-1211.5561557662159,3885.332587282019
-1230.6061595266583,3823.2236671072415,-1232,3824,-1222.4006,3924.496,-1209.5509854566735,3886.792219609765
-1230.604251835944,3823.223650856287,-1232,3824,-1222.4006,3924.496,-1207.741694276175,3887.9864811861185
-1228.6337743703752,3818.386585586658,-1227,3819,-1216.4904,3875.3096,-1205.4399216063216,3883.4286062490555
-1228.6369167967619,3818.4017387782624,-1227,3819,-1216.4904,3875.3096,-1203.376465387837,3879.390959967538
-1228.636299284422,3818.414849541832,-1227,3819,-1216.4904,3875.3096,-1201.5235757962955,3875.803238662857
-1227.53241158461,3814.381691857341,-1227,3814,-1207.3677,3854.4482,-1198.861365609424,3870.329094351305
-1227.5290550898833,3814.427348935572,-1227,3814,-1207.3677,3854.4482,-1196.481333860773,3865.4617022027114
