RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1326.1997,3709.6667,-1346.9480849116476,3910.446557503415
-1346.8335406748265,3933.1284584675336,-1347,3934,-1321.1167,3789.4067,-1342.4924576863223,3817.2102648067103
-1335.5865142047794,3922.4926007616623,-1337,3919,-1340.9261,3741.9275,-1334.7862983727014,3808.1956812173157
-1324.339480834547,3911.8567447567757,-1322,3909,-1305.6405,3796.2256,-1317.5444744928268,3803.3839185278653
-1320.5905298499647,3908.3115207082856,-1322,3909,-1305.6405,3796.2256,-1310.9250752449132,3803.992598683219
-1313.092564898214,3901.2210107787205,-1312,3899,-1319.1449,3750.154,-1323.0332100993578,3776.228602056589
-1301.8455150832172,3890.5851453967334,-1302,3889,-1319.4474,3707.1423,-1331.970554808367,3721.807391437623
-1290.5983968245996,3879.949212782227,-1292,3879,-1297.1136,3712.344,-1320.4507372618398,3726.8067843182707
-1279.3512436260585,3869.313245707878,-1277,3869,-1236.8198,3809.962,-1290.708580766741,3764.441410994972
-1268.1040726081706,3858.677260926066,-1267,3859,-1173.3351,3794.1897,-1246.7519232936986,3767.2574516643585
-1256.8568924936224,3848.041267037476,-1257,3849,-1200.6487,3787.0776,-1223.0059768355143,3766.1554263890857
-1245.6097077076288,3837.4052684902626,-1247,3834,-1261.487,3712.0198,-1243.732248479022,3733.081285172401
-1234.3625204879274,3826.7692675982657,-1232,3824,-1252.2515,3694.7117,-1234.5996801300569,3700.621611617859
-1230.6134577566309,3823.223933673702,-1232,3824,-1252.2515,3694.7117,-1240.0808629106607,3698.8099773954987
-1230.6132825016255,3823.223795879794,-1232,3824,-1252.2515,3694.7117,-1243.376692379211,3697.7062005293164
-1230.6121499455774,3823.223761729941,-1232,3824,-1252.2515,3694.7117,-1245.5875004880586,3696.9623542977774
-1230.6108905373658,3823.223732586874,-1232,3824,-1252.2515,3694.7117,-1247.1647848368411,3696.4304995805705
-1230.6094797120172,3823.2237075257262,-1232,3824,-1252.2515,3694.7117,-1248.3315855869987,3696.036599157745
-1230.6079038473424,3823.2236858669944,-1232,3824,-1252.2515,3694.7117,-1249.213643159838,3695.7386285510984
-1230.6061595266583,3823.2236671072415,-1232,3824,-1252.2515,3694.7117,-1249.889234113103,3695.5103169948015
-1230.604251835944,3823.223650856287,-1232,3824,-1252.2515,3694.7117,-1245.1539241814155,3695.9543918273243
-1228.6337743703752,3818.386585586658,-1227,3819,-1234.7174,3699.933,-1241.5872226677193,3696.7428695753724
-1228.6369167967619,3818.4017387782624,-1227,3819,-1234.7174,3699.933,-1239.6190634414727,3697.411698156464
-1228.636299284422,3818.414849541832,-1227,3819,-1234.7174,3699.933,-1235.8897272546435,3704.108723870707
