RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1326.1997,3709.6667,-1353.0797809971782,3929.2706956625343
-1346.8335406748265,3933.1284584675336,-1347,3934,-1321.1167,3789.4067,-1340.334674431209,3908.5413436687704
-1335.5865142047794,3922.4926007616623,-1337,3919,-1340.9261,3741.9275,-1330.4411062719998,3881.7420607526024
-1324.339480834547,3911.8567447567757,-1322,3909,-1305.6405,3796.2256,-1317.6359486438052,3861.870913201919
-1320.5905298499647,3908.3115207082856,-1322,3909,-1305.6405,3796.2256,-1312.9377672183325,3850.8864360634843
-1313.092564898214,3901.2210107787205,-1312,3899,-1319.1449,3750.154,-1307.2559773480866,3831.9632805025
-1301.8455150832172,3890.5851453967334,-1302,3889,-1319.4474,3707.1423,-1299.4327768083276,3805.2664703663345
-1290.5983968245996,3879.949212782227,-1292,3879,-1297.1136,3712.344,-1289.6558191266313,3782.205523644898
-1279.3512436260585,3869.313245707878,-1277,3869,-1236.8198,3809.962,-1271.9161682361878,3777.709288968749
-1268.1040726081706,3858.677260926066,-1267,3859,-1173.3351,3794.1897,-1246.4468007364883,3771.562861141775
-1256.8568924936224,3848.041267037476,-1257,3849,-1200.6487,3787.0776,-1229.5172714445596,3765.3528923186204
-1245.6097077076288,3837.4052684902626,-1247,3834,-1261.487,3712.0198,-1225.7484145063447,3747.4801855280493
-1234.3625204879274,3826.7692675982657,-1232,3824,-1252.2515,3694.7117,-1221.1133910146834,3729.6305863242133
-1230.6134577566309,3823.223933673702,-1232,3824,-1252.2515,3694.7117,-1222.839967453925,3721.2090307369162
-1230.6132825016255,3823.223795879794,-1232,3824,-1252.2515,3694.7117,-1223.9084167195667,3714.3696502382722
-1230.6121499455774,3823.223761729941,-1232,3824,-1252.2515,3694.7117,-1224.5442555127825,3708.6559307313546
-1230.6108905373658,3823.223732586874,-1232,3824,-1252.2515,3694.7117,-1224.8882498986816,3703.7839941266698
-1230.6094797120172,3823.2237075257262,-1232,3824,-1252.2515,3694.7117,-1225.0325635996783,3699.567484426699
-1230.6079038473424,3823.2236858669944,-1232,3824,-1252.2515,3694.7117,-1225.0397433348544,3695.8783028051407
-1230.6061595266583,3823.2236671072415,-1232,3824,-1252.2515,3694.7117,-1224.953377980229,3692.6247561014775
-1230.604251835944,3823.223650856287,-1232,3824,-1252.2515,3694.7117,-1224.8044242747374,3689.7387755087952
-1228.6337743703752,3818.386585586658,-1227,3819,-1234.7174,3699.933,-1222.6373833245834,3687.757038448844
-1228.6369167967619,3818.4017387782624,-1227,3819,-1234.7174,3699.933,-1220.6918081280012,3685.9761730376
-1228.636299284422,3818.414849541832,-1227,3819,-1234.7174,3699.933,-1218.9424406259104,3684.3736835358804
-1227.53241158461,3814.381691857341,-1227,3814,-1228.5206,3719.8826,-1216.6908634944068,3685.110856453408
-1227.5290550898833,3814.427348935572,-1227,3814,-1228.5206,3719.8826,-1214.673977752426,3685.7400625627106
-1227.5199770630268,3814.4620847364117,-1227,3814,-1228.5206,3719.8826,-1212.8658086726027,3686.2795916262085
-1227.5078953507134,3814.487787760835,-1227,3814,-1228.5206,3719.8826,-1211.2438777351358,3686.7441568375916
-1227.4938363141414,3814.5062480937936,-1227,3814,-1228.5206,3719.8826,-1209.7885292868586,3687.1456943410994
-1227.4789879877058,3814.519026461185,-1227,3814,-1228.5206,3719.8826,-1208.4824361037474,3687.4939610870397
-1227.4656843418038,3814.5274483363132,-1227,3814,-1228.5206,3719.8826,-1207.3102283784833,3687.796987763074
-1227.4634100208298,3814.532613620054,-1227,3814,-1228.5206,3719.8826,-1206.2582089256418,3688.0614259378303
-1227.463172839816,3814.535413029764,-1227,3814,-1228.5206,3719.8826,-1205.3141294089503,3688.2928168950143
-1227.4647883065152,3814.5365524087442,-1227,3814,-1228.5206,3719.8826,-1204.4670103913109,3688.495801765496
-1227.46804443737,3814.536578268488,-1227,3814,-1228.5206,3719.8826,-1203.706993383446,3688.6742871563456
-1227.472725593462,3814.53590345746,-1227,3814,-1228.5206,3719.8826,-1203.0252167069993,3688.831576697935
-1227.4786289023823,3814.534831339278,-1227,3814,-1228.5206,3719.8826,-1202.4137094662478,3688.9704762509823
-1227.4855747389058,3814.533577644069,-1227,3814,-1228.5206,3719.8826,-1201.8652996165213,3689.0933785887187
-1230.8605595081565,3807.649617102997,-1232,3809,-1239.599,3699.626,-1199.6783768780479,3684.079970221515
-1230.8606588026694,3807.6494724569648,-1232,3809,-1239.599,3699.626,-1200.9312441313562,3682.724187412609
-1232.2300695710326,3806.4039732672595,-1232,3804,-1243.9971,3652.7275,-1202.464489373792,3676.2345063589414
