RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1185.7300000000007,3738.5,-1187,3739,-1213.3861,3788.0234,-1183.1603597051308,3736.8880263244996
-1178.2320486652084,3731.409493058458,-1177,3729,-1057.0048,3727.178,-1168.911641347204,3729.676172864879
-1166.9845651345154,3720.773204430593,-1167,3719,-1112.5006,3761.0452,-1153.867478781335,3722.7318903596124
-1159.4865142047793,3713.6826007616623,-1157,3714,-1221.2908,3755.549,-1153.9895749431867,3719.68456939678
-1148.2394808345487,3703.046744756774,-1147,3704,-1244.4984,3769.7898,-1155.2112870848534,3716.4611485655246
-1140.741556371006,3695.956274574298,-1142,3694,-1248.5155,3765.8257,-1160.6619901533659,3716.6057582109675
-1133.243559033504,3688.865732859356,-1132,3689,-1231.9542,3673.2231,-1163.6784767582967,3704.736508120589
-1121.996481150187,3678.2298399222104,-1122,3679,-1219.7739,3807.6943,-1162.3306347483756,3710.6428138676333
-1114.4983968246029,3671.139212782226,-1112,3669,-1110.6025,3754.776,-1148.4751408718737,3711.032893420394
-1110.7493485573061,3667.593893194078,-1112,3669,-1110.6025,3754.776,-1140.1096890808178,3713.9535933143925
-1103.2512436260597,3660.5032457078782,-1102,3659,-1222.7075,3731.9783,-1145.21269336596,3710.3826474184502
-1099.5021880474249,3656.9579188722482,-1097,3654,-1213.7867,3652.4238,-1151.0179282988959,3699.693173375846
-1095.7531309390429,3653.4125905105907,-1097,3654,-1213.7867,3652.4238,-1155.684427117585,3690.656820860644
-1088.2550132999575,3646.321930361881,-1087,3644,-1233.9893,3732.667,-1159.5163874312755,3690.0346240271065
-1077.0078312753383,3635.685934560547,-1077,3634,-1166.2886,3646.5986,-1154.1540138859968,3677.7290176577235
-1077.0076515142998,3635.6858028433053,-1077,3634,-1166.2886,3646.5986,-1155.7987597496387,3673.509403005951
-1077.006515089993,3635.6857732290664,-1077,3634,-1166.2886,3646.5986,-1157.1514416106518,3670.039120838904
-1077.005751575312,3635.685747395866,-1077,3634,-1166.2886,3646.5986,-1158.2837407804475,3667.1342519382433
-1077.005302160342,3635.685724678205,-1077,3634,-1155.1409,3741.0408,-1157.9065070069503,3676.0065831873594
-1077.0051170939755,3635.6857046107234,-1077,3634,-1188.3932,3699.091,-1161.4745364073822,3678.7083012148423
-1077.005154767583,3635.685686866062,-1077,3634,-1188.3932,3699.091,-1162.311874053281,3677.045856736838
-1074.7445863770542,3630.9803578134997,-1072,3629,-1023.5342,3739.2944,-1144.3989815209886,3680.0610030740113
-1073.1182281811798,3627.613849905515,-1072,3629,-1023.5342,3739.2944,-1128.6799180742807,3682.642895404717
-1072.6969974024732,3627.2190884619527,-1072,3624,-1071.8326,3780.8604,-1120.1535284389834,3689.4480537319328
-1072.3275719168735,3626.8718290413894,-1072,3624,-1071.8326,3780.8604,-1112.6087053587155,3695.4155193069532
-1070.5879961404064,3625.2408154447035,-1072,3624,-1071.8326,3780.8604,-1105.9162714574597,3700.6654674899714
-1068.9746535453728,3623.7483548866353,-1067,3624,-1052.558,3781.465,-1097.8868858798612,3705.3618233334855
-1068.685816319054,3618.9899179923204,-1067,3619,-1042.8956,3767.387,-1091.972903305293,3712.032189230036
-1068.7340684563674,3618.9593025057716,-1067,3619,-1042.8956,3767.387,-1086.712900526036,3717.9649526658723
-1068.7760461083687,3618.940421284193,-1067,3619,-1042.8956,3767.387,-1082.02944480584,3723.2474419841706
-1068.811101900658,3618.9301924470305,-1067,3619,-1042.8956,3767.387,-1077.855699586349,3727.95503666324
-1068.8392254845194,3618.926173217432,-1067,3619,-1017.6569,3616.0698,-1071.4464079719578,3716.0428932824784
-1068.8608170041116,3618.926413067136,-1067,3619,-1042.8956,3767.387,-1068.4109314403588,3721.5017216186848
-1068.8765059116315,3618.929395073484,-1067,3619,-1042.8956,3767.387,-1065.701206527511,3726.374735992843
-1068.8870253647656,3618.933971855976,-1067,3619,-1070.4186,3711.6626,-1066.2017431047377,3724.8136987675634
-1068.8947542554224,3618.939316533483,-1067,3619,-997.707,3735.1833,-1058.4251633831004,3721.6922906382933
-1069.3362211627873,3614.1852673367057,-1067,3614,-1203.642,3683.4143,-1073.2999325367407,3713.414921548855
-1069.6890158997624,3612.8060613973225,-1067,3614,-1183.5352,3672.9443,-1084.4619041622757,3704.9068117448496
-1069.6891333183535,3612.805945732964,-1067,3614,-1203.642,3683.4143,-1096.5663381078637,3698.4094245196447
-1069.6892228813226,3612.8058395134276,-1067,3614,-1183.5352,3672.9443,-1105.2568641963894,3691.4919096669732
-1069.689313455294,3612.8057221817444,-1067,3614,-1203.642,3683.4143,-1115.1529971694831,3686.4148573261987
-1069.9503001678547,3612.5915670912436,-1067,3614,-1183.5352,3672.9443,-1121.8719859526466,3680.767117901192
-1070.6699792627558,3602.6785929616103,-1072,3604,-1189.9429,3654.7583,-1128.7238686052142,3669.4065810301463
-1071.494148317739,3592.4271253393745,-1072,3589,-1145.6217,3195.6733,-1129.7929831022057,3602.7027208470945
-1072.3291135643801,3582.1595612315336,-1072,3579,-1168.5847,3665.5295,-1133.795500016171,3602.593049262421
-1073.5876999564616,3566.736685405465,-1072,3564,-1034.0383,3761.081,-1118.0526092222929,3613.0907092113116
-1074.426321702404,3556.4484071038587,-1072,3554,-1106.5325,3629.3074,-1115.4066931254367,3607.3346427157207
-1075.682470562592,3541.014963715274,-1077,3539,-1188.0634,3764.6394,-1125.0878921596861,3619.4762828735575
-1076.519374145648,3530.7272747328466,-1077,3529,-1214.4641,3765.5703,-1137.6392993410113,3633.5815695470747
-1077.356696406083,3520.4407484578564,-1077,3519,-976.1047,3519.9548,-1112.4254451353863,3608.5134640757715
-1078.6139986613332,3505.0122653829117,-1077,3504,-1121.7698,3654.916,-1112.441199568153,3603.908754721169
-1079.4528324099244,3494.7268988886844,-1077,3494,-1061.9822,3760.2788,-1103.6619475105965,3620.098421538851
-1080.7113519402499,3479.298728159211,-1082,3479,-1129.3134,3283.062,-1106.3450644932425,3553.905281207463
-1081.5502841258337,3469.0131180444105,-1082,3469,-1187.8943,3514.8228,-1118.1709169906867,3539.8098820388627
-1082.3890830673256,3458.7274045353747,-1082,3459,-1102.0005,3404.5042,-1114.7007895303345,3510.991637191078
-1083.6470880630397,3443.2987389834907,-1082,3444,-1165.7991,3505.4055,-1121.4536101761655,3498.20289372788
-1084.4856988105596,3433.0129480904707,-1082,3434,-1092.4882,3688.8923,-1115.9371201069207,3520.0974365862244
-1085.7436159777576,3417.58427883227,-1087,3419,-1167.1315,3434.693,-1122.8038510506947,3494.350448685976
-1086.5822485118529,3407.2985131453884,-1087,3404,-1179.8378,3370.7615,-1130.8341809511169,3466.878250873536
-1087.4208971510927,3397.0127544903567,-1087,3394,-1198.2367,3483.5015,-1140.2738285014639,3461.462975725732
-1088.6788851883846,3381.584121153296,-1087,3379,-1131.6431,3561.1104,-1137.4105130439189,3465.6361820748552
-1089.5175449603041,3371.298365188153,-1087,3369,-1078.8103,3649.6199,-1127.2250573266842,3486.5483317327266
-1090.7755290765458,3355.8697287927953,-1092,3354,-1132.5892,3268.9512,-1126.6355538036555,3439.261500971751
-1091.6141813726135,3345.583969882807,-1092,3344,-1202.2115,3414.52,-1137.605737243548,3427.39655723283
-1092.4528319133376,3335.2982104537778,-1092,3334,-1227.2151,3253.5198,-1150.488252825746,3392.500642129141
-1093.7108068748964,3319.8695711057835,-1092,3319,-1186.3817,3417.5205,-1154.797143942534,3384.647357981867
-1094.5494572179264,3309.5838116540226,-1092,3309,-1209.2035,3467.77,-1162.347680656531,3389.732923523221
-1095.8074336112709,3294.155172707691,-1097,3294,-1148.6716,3371.5068,-1158.634565983485,3374.8977909746427
-1096.6460849150183,3283.8694135055134,-1097,3284,-1016.5528,2837.053,-1135.1655352080218,3281.8895912142734
-1097.4847363012623,3273.583654327268,-1097,3274,-1228.4348,3298.8223,-1149.1101531145016,3280.5175379670204
-1097.484864750776,3273.583474688705,-1097,3274,-1042.3048,3222.5022,-1133.8005071308119,3272.203245885441
-1097.4858161590325,3273.58340324895,-1097,3274,-1228.4348,3298.8223,-1146.560025584115,3275.79164974819
-1097.4866662408283,3273.5833435543514,-1097,3274,-1211.8541,3493.6357,-1154.9443856638354,3303.761720759628
