RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1273.3735,3806.206,-1348.3052331892777,3931.8815471289054
-1346.8335406748265,3933.1284584675336,-1347,3934,-1294.5175,3774.0854,-1362.1160296329454,3858.5524851806317
-1335.5865142047794,3922.4926007616623,-1337,3919,-1111.964,3739.715,-1265.3338108956464,3802.126242388002
-1324.339480834547,3911.8567447567757,-1322,3909,-1296.5685,3748.8042,-1250.435993226564,3766.759067961201
-1320.5905298499647,3908.3115207082856,-1322,3909,-1296.5685,3748.8042,-1263.5295101692,3775.200286596337
-1313.092564898214,3901.2210107787205,-1312,3899,-1249.7683,3787.0645,-1258.0524992145429,3793.7876120015894
-1301.8455150832172,3890.5851453967334,-1302,3889,-1209.6136,3766.3396,-1217.0127556262355,3783.639781833258
-1290.5983968245996,3879.949212782227,-1292,3879,-1288.6565,3744.0842,-1253.1057071984483,3773.0177175965378
-1279.3512436260585,3869.313245707878,-1277,3869,-1282.5087,3765.5615,-1275.4505713856493,3770.0087621692496
-1268.1040726081706,3858.677260926066,-1267,3859,-1163.8906,3713.2888,-1210.7218115039761,3724.7353867488773
-1256.8568924936224,3848.041267037476,-1257,3849,-1234.547,3752.3467,-1214.663118985692,3754.3463881032035
-1245.6097077076288,3837.4052684902626,-1247,3834,-1229.5564,3792.934,-1227.7283423271997,3760.763810494394
-1234.3625204879274,3826.7692675982657,-1232,3824,-1234.3347,3719.9941,-1233.4968208563405,3739.799542824744
-1230.6134577566309,3823.223933673702,-1232,3824,-1234.3347,3719.9941,-1239.074791553267,3736.529620241424
-1223.11533197478,3816.1332655561127,-1222,3814,-1096.2737,3761.5696,-1153.339695313634,3759.998364786127
-1211.8681427711522,3805.497262956166,-1212,3804,-1095.6293,3693.5234,-1095.2264162329573,3741.442745417515
-1200.620953219808,3794.861260065247,-1202,3794,-1121.8672,3675.6323,-1122.6233443184965,3724.1340972495236
-1189.3737635269754,3784.225256986881,-1187,3784,-1282.5825,3732.2524,-1191.3102675390535,3747.0844359093335
-1178.1265738087193,3773.589253762737,-1177,3774,-1285.2687,3727.989,-1252.7877404879061,3766.44077941441
-1166.8793841086922,3762.953250430809,-1167,3764,-1060.1501,3748.6274,-1124.1404916890708,3736.6211981319475
-1155.6321944159506,3752.3172470458157,-1157,3749,-1063.1987,3694.5085,-1078.5812379568179,3745.3404034973955
-1144.3850046927303,3741.681243669822,-1142,3739,-1252.4664,3772.2136,-1154.1308314074447,3759.017331138209
-1140.635941438602,3738.135909221953,-1142,3739,-1252.4664,3772.2136,-1184.2934509767038,3756.318067883373
-1133.1378149067752,3731.0452403482814,-1132,3729,-1308.64,3784.1084,-1222.521325512643,3750.6411194464995
-1121.8906250551981,3720.4092370900603,-1122,3719,-1269.5243,3748.3018,-1237.9094880287264,3762.106448525186
-1110.643435169022,3709.7732338653136,-1112,3709,-1091.4667,3704.1162,-1137.603414832513,3747.4046451231748
-1099.3962452971975,3699.137230623802,-1097,3699,-1090.3494,3736.2996,-1148.801934016458,3719.1891353943633
-1088.1490554797656,3688.5012273239563,-1087,3689,-1272.5377,3759.854,-1184.0041540332102,3733.9661803901586
-1076.901865725679,3677.8652239567054,-1077,3679,-1162.1174,3781.4978,-1163.8419559160038,3767.220042038989
-1065.6546760079539,3667.2292205507943,-1067,3664,-1105.2616,3767.9858,-1141.897766370785,3768.4780550371315
-1054.4074862789732,3656.593217156672,-1052,3654,-1087.592,3787.454,-1124.8509490264728,3775.7744538138413
-1050.658423025636,3653.0478827028887,-1052,3654,-1087.592,3787.454,-1113.850879540664,3778.389402368394
-1043.1602964974056,3645.9572138181043,-1042,3644,-1062.7777,3786.569,-1094.6927596902124,3786.4940659189283
-1031.9131066515117,3635.3212105475304,-1032,3634,-1065.0132,3742.0833,-1087.3789777980387,3758.1428333039235
-1020.6659167658025,3624.6852073190466,-1022,3624,-1049.905,3743.99,-1065.5074364454983,3740.513050447573
-1009.4187268872099,3614.049204083027,-1007,3614,-959.0353,3675.527,-1014.2807391953211,3713.057238076912
-998.171537058633,3603.413200794117,-997,3604,-981.19684,3713.722,-994.2943889221984,3692.570666500346
-986.9243472947536,3592.7771974367915,-987,3594,-996.49884,3611.9492,-993.6892209791654,3668.849600812882
-975.6771575737569,3582.1411940341145,-977,3579,-1001.8854,3692.433,-994.2730602035846,3675.8198883611094
-964.4299678496347,3571.505190634742,-962,3569,-931.20935,3713.2349,-968.6178067654915,3697.4396481069257
-960.6809045993281,3567.9598561777298,-962,3569,-931.20935,3713.2349,-955.8547979928687,3701.3243129120456
-953.1827780781234,3560.8691872854806,-952,3559,-935.93713,3735.4426,-946.3231379495247,3712.3378391474976
-941.9355882416598,3550.2331840049037,-942,3549,-887.48505,3486.9255,-897.3721895434812,3641.8008336714647
-930.6883983592917,3539.5971807728693,-932,3539,-858.52545,3722.5364,-896.3146005378273,3671.2923400995783
-919.4412084759309,3528.961177541888,-917,3529,-881.5509,3601.559,-882.8966799930873,3645.1792663921283
-908.1940186370321,3518.3251742638868,-907,3519,-914.2669,3675.4658,-894.0252529744945,3661.770219153891
-896.946828862968,3507.689170917329,-897,3509,-910.51117,3661.24,-902.0523239322126,3661.6051507891048
-885.6996391375324,3497.0531675193456,-887,3494,-874.79803,3549.034,-903.8576081237879,3610.479132983583
-874.4524494170897,3486.4171641160788,-872,3484,-830.6778,3221.1074,-907.1941860202597,3385.9673474173646
-870.7033861695555,3482.871829656135,-872,3484,-830.6778,3221.1074,-913.6654991444916,3276.3296047294266
-863.2052596551781,3475.781160756665,-862,3474,-849.5732,3329.1526,-942.7287861927933,3302.3991914073254
-851.9580698286917,3465.145157465537,-852,3464,-940.31036,3703.855,-981.8852230087533,3463.6640761916838
-840.710879950923,3454.5091542286427,-842,3454,-983.6665,3753.241,-935.2326737272534,3579.022595332888
