RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1185.7300000000007,3738.5,-1187,3739,-1186.9752,3844.775,-1182.2057493545442,3738.9392841780614
-1170.7335406748264,3724.318458467534,-1172,3724,-1158.5946,3690.9136,-1166.6954651762633,3722.1318045129224
-1155.7374657501748,3710.1372774158963,-1157,3709,-1172.498,3746.682,-1154.2436131847808,3712.441314706296
-1140.741556371006,3695.956274574298,-1142,3694,-1163.2063,3739.302,-1142.7897792973527,3704.1122134817497
-1125.7455150832172,3681.7751453967344,-1127,3679,-1184.348,3647.8901,-1137.02779592228,3683.234329718273
-1114.4983968246029,3671.139212782226,-1112,3669,-1101.7393,3649.0088,-1121.9209376812696,3668.7383778897365
-1110.7493485573061,3667.593893194078,-1112,3669,-1101.7393,3649.0088,-1115.729982952458,3662.763061975064
-1099.5021880474249,3656.9579188722482,-1097,3654,-1104.16,3618.0356,-1104.5476272674687,3646.7603943676845
-1095.7531309390429,3653.4125905105907,-1097,3654,-1104.16,3618.0356,-1101.3289292791071,3639.549924171494
-1080.756892493625,3639.2312670374786,-1082,3639,-1106.5486,3609.8267,-1089.8011386129253,3622.872708854101
-1077.0078312753383,3635.685934560547,-1077,3634,-1087.5061,3607.4045,-1086.309308139873,3617.55241258212
-1077.0076515142998,3635.6858028433053,-1077,3634,-1087.5061,3607.4045,-1083.2912059392356,3613.097613527765
-1077.006515089993,3635.6857732290664,-1077,3634,-1087.5061,3607.4045,-1080.6346162593595,3609.2819626773658
-1077.005751575312,3635.685747395866,-1077,3634,-1087.5061,3607.4045,-1078.2679828192902,3605.961024371664
-1077.005302160342,3635.685724678205,-1077,3634,-1087.5061,3607.4045,-1076.1430356000683,3603.037751870543
-1077.0051170939755,3635.6857046107234,-1077,3634,-1087.5061,3607.4045,-1074.2254717158212,3600.4439027152634
-1077.005154767583,3635.685686866062,-1077,3634,-1087.5061,3607.4045,-1072.4896868645603,3598.1294656054397
-1074.7445863770542,3630.9803578134997,-1072,3629,-1072.9215,3589.6433,-1069.2568230933255,3594.0362259385292
-1073.1182281811798,3627.613849905515,-1072,3629,-1072.9215,3589.6433,-1066.3795187747307,3590.409968926086
-1072.6969974024732,3627.2190884619527,-1072,3624,-1072.7922,3569.8762,-1063.7970063201483,3584.996681982939
-1072.3275719168735,3626.8718290413894,-1072,3624,-1072.7922,3569.8762,-1061.4875463420685,3580.1950402114126
-1070.5879961404064,3625.2408154447035,-1072,3624,-1072.7922,3569.8762,-1059.4193038766307,3575.9259655663127
-1068.685816319054,3618.9899179923204,-1067,3619,-1080.3572,3549.9688,-1055.3608829442674,3566.6348795747504
-1068.7340684563674,3618.9593025057716,-1067,3619,-1080.3572,3549.9688,-1054.9732703955885,3561.5878729861297
-1068.7760461083687,3618.940421284193,-1067,3619,-1080.3572,3549.9688,-1054.5713524853297,3557.1404338353623
-1068.811101900658,3618.9301924470305,-1067,3619,-1080.3572,3549.9688,-1054.1678639001746,3553.20368739254
-1068.8392254845194,3618.926173217432,-1067,3619,-1080.3572,3549.9688,-1053.771715954099,3549.7072076295835
-1068.8608170041116,3618.926413067136,-1067,3619,-1080.3572,3549.9688,-1053.3890290823522,3546.5939182802485
-1068.8765059116315,3618.929395073484,-1067,3619,-1080.3572,3549.9688,-1053.0238659758134,3543.8166460142897
-1068.8870253647656,3618.933971855976,-1067,3619,-1080.3572,3549.9688,-1052.6787645093286,3541.335741316814
-1068.8947542554224,3618.939316533483,-1067,3619,-1080.3572,3549.9688,-1052.3551324135478,3539.117403839735
-1069.3362211627873,3614.1852673367057,-1067,3614,-1085.9021,3554.4417,-1052.648606137091,3537.612507408471
-1069.6890158997624,3612.8060613973225,-1067,3614,-1085.9021,3554.4417,-1052.8986145517422,3536.2629048330696
-1069.6891333183535,3612.805945732964,-1067,3614,-1085.9021,3554.4417,-1053.112337318723,3535.052483212338
-1069.6892228813226,3612.8058395134276,-1067,3614,-1085.9021,3554.4417,-1053.2956282476835,3533.966924281467
-1069.689313455294,3612.8057221817444,-1067,3614,-1085.9021,3554.4417,-1053.4532851024364,3532.9934534687172
-1069.9503001678547,3612.5915670912436,-1067,3614,-1085.9021,3554.4417,-1053.5892593696763,3532.1206401613676
-1071.494148317739,3592.4271253393745,-1072,3589,-1063.6937,3545.7253,-1042.1352551141886,3521.7610026880607
-1073.168043250216,3571.879507170758,-1072,3569,-1054.0153,3568.6516,-1031.4835185079203,3517.1872169441253
-1074.8452176937276,3551.3038041864675,-1072,3549,-1052.5712,3475.2502,-1022.7965063191722,3498.3292927436705
-1076.519374145648,3530.7272747328466,-1077,3529,-1096.4642,3476.425,-1023.9855563779344,3482.8194501740163
-1078.1947376452454,3510.15499266376,-1077,3509,-1072.6871,3470.9114,-1021.0770688482742,3469.136513505352
-1079.8723323751406,3489.5842050102074,-1077,3489,-1060.479,3459.529,-1016.6585340864696,3455.9078711853986
-1081.5502841258337,3469.0131180444105,-1082,3469,-1085.5726,3427.6086,-1018.1428844334466,3439.053086622738
-1083.227770889581,3448.4416335543865,-1082,3449,-1048.7007,3422.7964,-1012.2338378040805,3424.543883878407
-1084.9050015872344,3427.870055383992,-1082,3429,-1070.549,3409.6829,-1011.8701108317521,3410.3114490868506
-1086.5822485118529,3407.2985131453884,-1087,3404,-1077.743,3436.1812,-1013.0616388823992,3404.1747632827564
-1088.2595550027931,3386.726998809967,-1087,3384,-1075.6744,3414.5342,-1013.637495136876,3394.976194033871
-1089.9368738497537,3366.1554867164687,-1087,3364,-1081.275,3345.2966,-1015.233368040483,3373.816029413756
-1091.6141813726135,3345.583969882807,-1092,3344,-1077.9111,3321.708,-1015.8532598969259,3352.1666805816194
-1093.2914818642369,3325.012450877735,-1092,3324,-1065.5125,3291.6003,-1013.8798624934966,3328.824621513239
-1094.9687825761498,3304.440931978079,-1092,3304,-1104.398,3287.5251,-1020.0787080444886,3309.33243051821
-1096.6460849150183,3283.8694135055134,-1097,3284,-1075.4696,3276.3906,-1019.2559360855093,3291.514482435975
-1097.4847363012623,3273.583654327268,-1097,3274,-1090.5627,3250.9631,-1026.2785178686968,3278.340479929095
-1097.484864750776,3273.583474688705,-1097,3274,-1090.5627,3250.9631,-1033.7099805190558,3270.9198398129856
-1097.4858161590325,3273.58340324895,-1097,3274,-1090.5627,3250.9631,-1039.0763102297205,3264.946200297277
-1097.4866662408283,3273.5833435543514,-1097,3274,-1090.5627,3250.9631,-1043.0733404862601,3259.976152193056
-1097.4873103662355,3273.583293525409,-1097,3274,-1090.5627,3250.9631,-1046.1206871372394,3255.7434241635688
-1097.487675730364,3273.583251547202,-1097,3274,-1090.5627,3250.9631,-1048.4863792643225,3252.078086543014
-1097.4877213517093,3273.583216325042,-1097,3274,-1090.5627,3250.9631,-1050.349512870694,3248.8660223937068
-1097.487433515124,3273.5831868010728,-1097,3274,-1090.5627,3250.9631,-1051.8341475955726,3246.027100392435
-1097.4868192629417,3273.5831620966433,-1097,3274,-1090.5627,3250.9631,-1053.0287644126438,3243.502746363229
-1097.4858999035775,3273.583141472477,-1097,3274,-1090.5627,3250.9631,-1053.9979954619307,3241.248546119136
-1097.4847054084198,3273.5831243008815,-1097,3274,-1090.5627,3250.9631,-1054.7899931541367,3239.2296833788355
