RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1326.1997,3709.6667,-1346.9480849116476,3910.446557503415
-1346.8335406748265,3933.1284584675336,-1347,3934,-1321.1167,3789.4067,-1342.4924576863223,3817.2102648067103
-1335.5865142047794,3922.4926007616623,-1337,3919,-1340.9261,3741.9275,-1334.7862983727014,3808.1956812173157
-1324.339480834547,3911.8567447567757,-1322,3909,-1305.6405,3796.2256,-1317.5444744928268,3803.3839185278653
-1320.5905298499647,3908.3115207082856,-1322,3909,-1305.6405,3796.2256,-1310.9250752449132,3803.992598683219
-1313.092564898214,3901.2210107787205,-1312,3899,-1319.1449,3750.154,-1323.0332100993578,3776.228602056589
-1301.8455150832172,3890.5851453967334,-1302,3889,-1319.4474,3707.1423,-1331.970554808367,3721.807391437623
-1290.5983968245996,3879.949212782227,-1292,3879,-1297.1136,3712.344,-1320.4507372618398,3726.8067843182707
-1279.3512436260585,3869.313245707878,-1277,3869,-1236.8198,3809.962,-1290.708580766741,3764.441410994972
-1268.1040726081706,3858.677260926066,-1267,3859,-1173.3351,3794.1897,-1246.7519232936986,3767.2574516643585
-1256.8568924936224,3848.041267037476,-1257,3849,-1200.6487,3787.0776,-1223.0059768355143,3766.1554263890857
-1245.6097077076288,3837.4052684902626,-1247,3834,-1261.487,3712.0198,-1243.732248479022,3733.081285172401
-1234.3625204879274,3826.7692675982657,-1232,3824,-1252.2515,3694.7117,-1234.5996801300569,3700.621611617859
-1230.6134577566309,3823.223933673702,-1232,3824,-1252.2515,3694.7117,-1235.5925452405609,3699.230516385906
-1223.11533197478,3816.1332655561127,-1222,3814,-1229.0728,3676.4902,-1240.5327207365394,3692.3912359221085
-1211.8681427711522,3805.497262956166,-1212,3804,-1214.1549,3597.661,-1239.8148100640592,3652.208359946525
-1200.620953219808,3794.861260065247,-1202,3794,-1280.4218,3671.7002,-1264.0637912815175,3651.8786972692333
-1189.3737635269754,3784.225256986881,-1187,3784,-1186.5864,3742.545,-1231.3895424529405,3703.1369570838847
-1178.1265738087193,3773.589253762737,-1177,3774,-1216.4247,3737.3599,-1230.8432641962968,3720.5717625491066
-1166.8793841086922,3762.953250430809,-1167,3764,-1165.5264,3759.9634,-1199.486590998877,3726.4490323735217
-1155.6321944159506,3752.3172470458157,-1157,3749,-1168.9441,3848.9883,-1166.8782905499324,3816.706522759113
-1144.3850046927303,3741.681243669822,-1142,3739,-1136.3169,3788.6892,-1150.8346471565014,3815.148732181936
-1140.635941438602,3738.135909221953,-1142,3739,-1136.3169,3788.6892,-1142.0100256819842,3800.450465040227
-1133.1378149067752,3731.0452403482814,-1132,3729,-1165.29,3673.8535,-1150.6119489311272,3755.226716878229
